,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
77,20.8,1.3,44.1,85.9,0.0,334.7,9.4,,1015.0,0.0
78,13.9,-7.4,41.4,299.9,150.0,115.3,11.2,,1015.6,0.0
79,19.4,-7.7,34.6,1793.1,,40.7,8.2,,1017.7,0.0
80,13.4,-16.5,35.2,962.9,130.0,254.3,11.8,,1017.1,0.0
81,13.2,-11.2,33.8,1220.1,410.0,309.2,11.3,,1016.3,0.0
82,18.3,-3.5,35.4,1046.2,0.0,213.6,6.2,,1018.3,0.0
83,24.5,2.3,46.2,297.0,,45.7,9.9,,1011.3,0.0
84,23.4,-0.5,35.6,938.9,0.0,99.5,13.7,,1017.7,0.0
85,11.8,-10.4,38.5,376.5,150.0,81.6,10.7,,1016.6,0.0
86,11.7,-16.7,34.9,1382.3,0.0,286.3,15.8,,1016.3,0.0
87,17.8,0.2,41.2,125.2,,188.2,10.8,,1015.8,0.0
88,18.2,-3.6,35.2,1317.3,50.0,321.1,10.0,,1018.4,0.0
89,15.0,-24.8,38.2,945.9,100.0,149.3,15.8,,1016.9,0.0
90,11.9,-22.3,33.1,1009.6,460.0,310.3,8.3,,1017.4,0.0
91,13.9,-11.2,36.8,1161.9,430.0,307.6,11.7,,1017.1,0.0
92,12.4,-26.8,38.6,715.2,330.0,200.6,15.1,,1016.5,0.0
93,17.6,3.8,36.6,91.4,,230.7,8.5,,1015.2,0.0
94,23.4,2.9,37.9,1034.4,0.0,135.9,12.1,,1018.2,0.0
95,18.4,-21.1,38.2,930.9,100.0,130.8,13.9,,1016.5,0.0
96,10.9,-27.8,35.2,686.9,410.0,257.3,13.2,,1017.2,0.0
97,12.6,-9.9,39.5,139.2,80.0,288.1,9.8,,1016.1,0.0
98,14.3,-7.7,36.7,1021.9,280.0,290.8,10.0,,1017.4,0.0
99,16.8,-19.6,35.4,1207.6,360.0,185.3,12.4,,1017.7,0.0
100,14.5,0.8,32.5,307.2,,299.9,14.0,,1017.0,0.0
101,16.8,-6.4,38.0,1108.4,50.0,261.7,9.0,,1018.3,0.0
102,15.9,-5.4,35.1,996.0,0.0,271.8,10.8,,1017.8,0.0
103,23.6,4.4,35.0,1036.4,,78.2,11.0,,1017.4,0.0
104,24.3,-1.4,49.7,41.7,,317.9,10.3,,1011.6,0.0
105,21.6,-0.0,34.0,1017.8,0.0,107.3,10.7,,1018.1,0.0
106,17.2,-6.1,36.0,1514.9,0.0,295.6,7.8,,1018.5,0.0
107,11.8,-10.9,44.1,345.0,130.0,192.2,8.3,,1016.3,0.0
108,11.4,-18.3,35.5,1133.0,380.0,271.0,12.5,,1016.3,0.0
109,13.8,-8.2,36.2,995.3,280.0,308.5,11.0,,1017.2,0.0
110,20.7,-17.9,39.3,985.3,102.0,133.7,13.9,,1016.1,0.0
111,16.8,-0.5,42.2,263.5,0.0,303.5,12.3,,1015.4,0.0
112,11.9,-16.7,36.7,1070.8,,299.3,7.6,,1016.1,0.0
113,18.1,-5.9,35.7,1249.4,0.0,274.3,7.5,,1018.2,0.0
114,13.5,-9.7,41.9,274.7,230.0,231.7,12.4,,1016.1,0.0
115,15.5,3.3,34.4,90.8,,310.2,11.3,,1015.3,0.0
116,11.6,-12.6,33.5,1333.8,0.0,282.2,14.6,,1017.3,0.0
117,17.4,-2.2,41.7,232.6,0.0,343.4,11.4,,1015.2,0.0
118,22.9,0.0,36.0,1018.9,0.0,63.1,10.3,,1018.4,0.0
119,11.4,-23.6,37.7,376.1,410.0,183.7,13.4,,1014.6,0.0
120,12.4,-17.0,34.6,1107.0,100.0,236.2,12.4,,1017.6,0.0
121,14.9,-29.3,35.7,1155.3,,174.0,11.0,,1017.6,0.0
122,18.5,0.8,38.7,150.3,,175.9,6.5,,1014.8,0.0
123,20.6,-2.7,36.1,2263.1,0.0,114.6,12.5,,1017.9,0.0
124,18.8,-2.9,44.1,49.6,,295.0,12.8,,1014.4,0.0
125,18.6,-6.7,45.0,61.2,,264.7,18.4,,1015.3,0.0
126,16.0,-5.3,35.2,996.0,0.0,271.8,10.8,,1017.8,0.0
127,23.3,-6.2,36.0,1352.9,0.0,132.1,15.7,,1015.6,0.0
128,11.9,-20.9,33.4,1080.0,380.0,247.1,13.9,,1017.6,0.0
129,18.5,4.9,36.6,110.9,,213.7,8.1,,1015.1,0.0
130,10.4,-28.6,32.8,1731.7,,307.3,8.8,,1017.2,0.0
131,17.5,-5.5,35.5,1019.0,,322.9,9.1,,1017.9,0.0
132,14.8,-10.5,33.3,1296.3,100.0,120.0,4.9,,1017.6,0.0
133,13.7,-4.0,38.8,525.9,,239.5,8.2,,1016.1,0.0
134,11.2,-22.7,34.4,868.3,410.0,255.0,12.8,,1017.1,0.0
135,25.9,18.5,34.5,700.9,,114.2,10.9,,1016.0,0.0
136,13.4,-16.7,33.2,1430.5,80.0,212.1,11.8,,1018.2,0.0
137,10.6,-26.7,32.2,912.8,,283.4,11.4,,1017.1,0.0
138,21.8,-0.8,46.4,54.0,0.0,237.0,14.3,,1015.1,0.0
139,16.5,-10.9,34.0,1508.3,50.0,341.6,8.7,,1018.1,0.0
140,19.6,-6.8,35.9,2001.4,0.0,78.7,10.6,,1018.1,0.0
141,11.3,-24.4,38.3,352.4,,7.0,11.3,,1015.2,0.0
142,14.1,-6.5,32.3,1361.6,80.0,320.4,9.2,,1018.8,0.0
143,19.2,0.7,41.5,154.0,,131.6,8.7,,1015.0,0.0
144,10.3,-28.0,36.5,800.2,250.0,267.3,12.7,,1016.3,0.0
145,17.6,-0.2,44.8,233.5,,259.1,19.1,,1015.7,0.0
146,21.7,0.9,34.0,989.3,,87.8,10.2,,1018.2,0.0
147,13.6,-9.7,35.6,1059.7,,295.4,10.7,,1016.4,0.0
148,13.0,-34.9,39.4,695.7,380.0,39.7,15.0,,1016.4,0.0
149,14.5,-26.1,35.5,1166.7,200.0,179.8,14.9,,1016.9,0.0
150,-0.5,-31.5,25.8,980.7,,359.4,5.3,,1007.2,0.0
151,18.8,-19.6,37.8,1123.0,100.0,137.7,14.5,,1017.3,0.0
152,18.4,4.8,36.5,110.9,,213.7,8.1,,1015.1,0.0
153,11.6,-27.7,35.1,855.2,381.0,229.5,15.1,,1017.2,0.0
154,11.8,-24.4,37.1,622.3,430.0,238.5,13.0,,1017.3,0.0
155,14.1,-11.0,37.0,1161.9,430.0,307.6,11.7,,1017.1,0.0
156,12.1,-19.7,35.2,1046.3,410.0,245.1,13.3,,1017.3,0.0
157,19.6,-16.2,36.6,1051.0,150.0,128.3,10.7,,1017.0,0.0
158,11.1,-22.9,35.5,703.8,,261.4,12.4,,1016.6,0.0
159,19.8,-2.3,36.0,1242.5,0.0,1.6,8.8,,1017.8,0.0
160,18.8,-2.8,33.9,1139.7,,224.6,12.9,,1018.3,0.0
161,17.6,3.5,35.2,223.6,0.0,278.6,7.8,,1015.3,0.0
162,13.0,-3.3,43.8,656.0,0.0,282.7,11.2,,1018.8,0.0
163,12.9,-15.7,34.2,990.0,130.0,250.7,13.7,,1017.5,0.0
164,16.7,-17.6,42.3,516.6,229.0,173.7,18.7,,1014.8,0.0
165,13.7,-10.0,37.2,1117.7,,300.2,9.9,,1017.2,0.0
166,22.0,-0.0,36.0,1004.6,,83.5,11.1,,1018.2,0.0
167,13.6,-3.2,47.2,829.1,,283.8,10.5,,1018.2,0.0
168,24.0,6.6,34.9,735.1,,82.4,14.4,,1017.3,0.0
169,20.7,-8.9,36.1,1645.9,,118.2,9.8,,1017.3,0.0
170,24.3,-7.6,41.8,295.6,0.0,108.8,16.1,,1014.8,0.0
171,14.5,-7.3,34.9,1148.5,430.0,288.3,10.7,,1017.0,0.0
172,16.2,-4.9,54.1,992.0,0.0,340.8,7.2,,1019.5,0.0
173,19.0,-3.8,36.2,1284.3,,3.6,8.8,,1018.2,0.0
174,23.8,0.6,47.1,256.7,0.0,160.0,8.1,,1012.2,0.0
175,18.7,-20.1,36.6,1026.0,100.0,134.9,13.4,,1016.9,0.0
176,22.9,1.0,44.4,273.6,0.0,56.2,7.7,,1011.9,0.0
177,19.7,-16.8,38.2,971.0,,144.9,13.6,,1016.2,0.0
178,20.1,-3.4,36.5,1200.7,0.0,43.9,8.5,,1018.1,0.0
179,12.6,-22.2,34.9,1149.0,280.0,246.5,11.8,,1017.2,0.0
180,18.5,-3.8,36.7,1520.0,0.0,253.8,11.6,,1018.2,0.0
181,18.3,-7.2,34.9,1383.0,0.0,4.1,7.7,,1018.1,0.0
182,23.6,0.4,46.9,256.7,0.0,160.0,8.1,,1012.2,0.0
183,24.5,1.4,46.7,162.9,,213.8,8.9,,1012.0,0.0
184,21.9,-2.5,46.3,51.0,0.0,47.1,12.0,,1013.1,0.0
185,15.7,-6.0,34.0,927.5,80.0,327.0,9.2,,1018.2,0.0
186,12.4,-10.6,32.2,1136.5,102.0,281.5,13.8,,1015.4,0.0
187,17.1,-2.7,36.1,942.8,80.0,284.3,14.2,,1017.7,0.0
188,15.7,1.1,38.4,265.4,,319.7,9.6,,1016.9,0.0
189,14.1,-13.1,45.3,171.1,380.0,263.5,10.9,,1016.4,0.0
190,18.9,-17.5,36.5,1177.5,100.0,124.7,12.3,,1017.1,0.0
191,19.9,-18.7,39.0,827.6,100.0,148.2,16.4,,1015.8,0.0
192,18.4,-0.7,43.2,153.0,,308.0,7.8,,1016.2,0.0
193,14.3,-11.5,35.2,1201.5,80.0,282.3,13.3,,1017.1,0.0
194,22.4,-0.2,47.0,54.0,0.0,237.0,14.3,,1015.1,0.0
195,11.1,-19.4,35.6,1203.5,,293.2,8.9,,1016.4,0.0
196,15.4,-4.8,35.6,1104.1,50.0,264.6,13.3,,1017.9,0.0
197,25.6,9.4,35.6,1526.7,230.0,92.2,12.3,,1017.6,0.0
198,13.8,-7.9,36.5,1167.7,280.0,313.8,10.9,,1017.1,0.0
199,15.0,-16.5,35.7,1190.7,100.0,241.7,10.4,,1017.9,0.0
